Nazwa dzielnicy;Nazwa szkoły;Miejscowośc;Ulica;liczba uczniów;wynik średni
Warszawa - Bemowo;Niepubliczna Szkoła Podstawowa Nr 61 PO FUTURO;Warszawa;Kaliskiego 29A;16;28,5
Warszawa - Bemowo;Szkoła Podstawowa nr 150;Warszawa;Thommeego 1;56;30,1
Warszawa - Bemowo;Szkoła Podstawowa nr 24 Społecznegio Towarzystwa Oświatowego;Warszawa;Powstańców Śląskich 67a;32;32,3
Warszawa - Bemowo;Szkoła Podstawowa nr 306 im. ks. Jana Twardowskiego;Warszawa;Tkaczy 27;93;26,4
Warszawa - Bemowo;Szkoła Podstawowa nr 316;Warszawa;Szobera 1;93;24,6
Warszawa - Bemowo;Szkoła Podstawowa Nr 321 w Warszawie, ul. Szadkowskiego 3;Warszawa;Szadkowskiego 3;102;29,5
Warszawa - Bemowo;Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 301 im. gen. Z. Berlinga  w Warszawie w ZSP Nr 2;Warszawa;Brygadzistów 18;108;27,4
Warszawa - Bemowo;Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 341 im. Twórców Literatury Dziecięcej;Warszawa;Oławska 3;103;29,6
Warszawa - Bemowo;Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 82;Warszawa;Górczewska 201;87;30,1
Warszawa - Białołęka;Niepubliczna Szkoła Podstawowa ,,Nasza Szkoła'' im.Janusza Korczaka;Warszawa;Myśliborska 53;7;29,3
Warszawa - Białołęka;Społeczna Szkoła Podstawowa nr 2 STO;Warszawa;Dziatwy 6;31;34,4
Warszawa - Białołęka;Szkoła Podstawowa nr 110 im.Kazimierza Jeżewskiego;Warszawa;Bohaterów 41;46;25,9
Warszawa - Białołęka;Szkoła Podstawowa nr 112 z Oddziałami Integracyjnymi im. Marii Kownackiej w Warszawie;Warszawa;Zaułek 34;82;25,6
Warszawa - Białołęka;Szkoła Podstawowa nr 118 im. Przyjaciół Mazowsza;Warszawa;Leszczynowa 5;27;28,9
Warszawa - Białołęka;Szkoła Podstawowa Nr 154 z Oddziałami Integracyjnymi w Warszawie;Warszawa;Leśnej Polanki 63/65;45;25,2
Warszawa - Białołęka;Szkoła Podstawowa Nr 231 im. gen. Mariusza Zaruskiego w Warszawie;Warszawa;Juranda ze Spychowa 10;67;30,8
Warszawa - Białołęka;Szkoła Podstawowa nr 257 im. prof. Mariana Falskiego;Warszawa;Podróżnicza 11;51;28,6
Warszawa - Białołęka;Szkoła Podstawowa nr 31 im. Kardynała Stefana Wyszyńskiego w Zespole Szkół   nr 43;Warszawa;Kobiałka 49;54;29,4
Warszawa - Białołęka;Szkoła Podstawowa nr 314 im. Przyjaciół Ziemi;Warszawa;Porajów 3;86;27,4
Warszawa - Białołęka;Szkoła Podstawowa z Oddziałami Inegracyjnymi Nr 342 im.Jana Marcina Szancera;Warszawa;Strumykowa 21A;165;27,3
Warszawa - Białołęka;Szkoła Podstawowa z Oddziałami Integracyjnymi nr 344 im. Powstania Warszawskiego;Warszawa;Erazma z Zakroczymia 15;137;27,5
Warszawa - Bielany;Katolicka Szkoła Podstawowa nr 109 im. Świętej Rodziny Fundacji Na Rzecz Rodziny;Warszawa;K. Wóycickiego 1/3 bud. 18;10;27,9
Warszawa - Bielany;Społeczna Szkoła Podstawowa Integracyjna nr 100 STO;Warszawa;Wolumen 3;16;28,7
Warszawa - Bielany;Społeczna Szkoła Podstawowa nr13 im. Lotników Amerykaskich w Zespole Edukacyjnym im. Lotników Amerykańskich w Warszawie;Warszawa;Wóycickiego1/3 bud.13;32;29,8
Warszawa - Bielany;Szkoła Podstawowa Niepubliczna nr 74  im. Bł. Honorata Koźmińskiego w Zespole Szkół Sióstr Imienia Jezus w Warszawie;Warszawa;Smoleńskiego 31;21;31,7
Warszawa - Bielany;Szkoła Podstawowa nr 133 im. Stefana Czarnieckiego;Warszawa;Fontany 3;51;26,2
Warszawa - Bielany;Szkoła Podstawowa nr 187  im. Adama Mickiewicza;Warszawa;L.Staffa 21;68;26,8
Warszawa - Bielany;Szkoła Podstawowa nr 209;Warszawa;Reymonta 25;65;28,6
Warszawa - Bielany;Szkoła Podstawowa nr 214 z Oddziałami Integracyjnymi w Zespole Szkół nr 56 z Oddziałami Integracyjnymi;Warszawa;Fontany 1;33;26,2
Warszawa - Bielany;Szkoła Podstawowa nr 263 im. Powstańców Wielkopolskich w Zespole Szkół nr 52 w Warszawie;Warszawa;Szegedyńska 11;70;28,6
Warszawa - Bielany;Szkoła Podstawowa nr 273;Warszawa;Balcerzaka 1;63;22,7
Warszawa - Bielany;Szkoła Podstawowa nr 289 im. Henryka Sienkiewicza w Warszawie;Warszawa;Broniewskiego 99a;86;29,4
Warszawa - Bielany;Szkoła Podstawowa nr 293 im Jana Kochanowskiego;Warszawa;Kochanowskiego 8;76;28,9
Warszawa - Bielany;Szkoła Podstawowa nr 3 Przymierza Rodzin im. bł. ks. Jerzego Popiełuszki;Warszawa;TomaszaNocznickiego 7;56;32,1
Warszawa - Bielany;Szkoła Podstawowa nr 53 im. gen. Mariusza Zaruskiego w Warszawie;Warszawa;Rudzka 6;53;27,9
Warszawa - Bielany;Szkoła Podstawowa nr 77 im. Wandy Zieleńczyk w Warszawie;Warszawa;Samogłoski 9;48;29,8
Warszawa - Bielany;Szkoła Podstawowa nr 79 im. Zygmunta Sokołowskiego;Warszawa;Arkuszowa 202;26;25,4
Warszawa - Bielany;Szkoła Podstawowa nr 80  im. Marii Kownackiej;Warszawa;Aspekt 48;122;26,9
Warszawa - Bielany;Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 223;Warszawa;Kasprowicza 107;54;25,9
Warszawa - Bielany;Szkoła Podstawowa z Oddziałami Integracyjnymi nr 247, im. Kazimierza Lisieckiego Dziadka;Warszawa;Wrzeciono 9;37;24,3
Warszawa - Mokotów;Brytyjska Szkoła Podstawowa The British School Nr 91 w Warszawie;Warszawa;Limanowskiego 15;24;28,0
Warszawa - Mokotów;Kanadyjska Szkoła Podstawowa Nr 84 w Warszawie;Warszawa;Bełska 7;11;32,2
Warszawa - Mokotów;Niepubliczna Szkoła Podstawowa Nr 97;Warszawa;Abramowskiego 4;17;28,4
Warszawa - Mokotów;SP146;Warszawa;Domaniewska 33;68;28,6
Warszawa - Mokotów;Społeczna Szkoła Podstawowa Chocimska;Warszawa;Chocimska 5;16;30,7
Warszawa - Mokotów;Społeczna Szkoła Podstawowa nr 14 im. Dzieci Zjednoczonej Europy STO;Warszawa;Bachmacka 3;35;32,9
Warszawa - Mokotów;Społeczna Szkoła Podstawowa nr 26 STO Prof. Jigoro Kano;Warszawa;Puławska 97 B;29;33,2
Warszawa - Mokotów;Szkoła Podstawowa  nr 119   im. 3. Berlińskiego Pułku Piechoty w Warszawie;Warszawa;Pułku Baszta 3;31;23,1
Warszawa - Mokotów;Szkoła Podstawowa im. Św. Franciszka;Warszawa;Teresińska 9;22;30,0
Warszawa - Mokotów;Szkoła Podstawowa Integracyjna nr 339;Warszawa;św. Bonifacego 10;36;25,3
Warszawa - Mokotów;Szkoła Podstawowa Kolegium Zakonu Pijarów w Warszawie;Warszawa;Gwintowa 3;38;31,2
Warszawa - Mokotów;Szkoła Podstawowa Niepubliczna Nr 49;Warszawa;J.S.Bacha 2;14;32,3
Warszawa - Mokotów;Szkoła Podstawowa nr 103;Warszawa;Jeziorna 5/9;40;27,6
Warszawa - Mokotów;Szkoła Podstawowa Nr 107 im. Br. Malinowskiego;Warszawa;Nowoursynowska 210/212;24;26,0
Warszawa - Mokotów;Szkoła Podstawowa nr 115 im. Wandy Turowskiej;Warszawa;Okrężna 80;41;29,7
Warszawa - Mokotów;Szkoła Podstawowa nr 157 im. Adama Mickiewicza;warszawa;Kazimierzowska 16;25;25,0
Warszawa - Mokotów;Szkoła Podstawowa Nr 167 w Zespole Szkół Nr 108 w Warszawie , ul. św. Bonifacego;Warszawa;św. Bonifacego 81;7;13,9
Warszawa - Mokotów;Szkoła Podstawowa Nr 190 im. Orła Białego w Warszawie;Warszawa;Zwierzyniecka 10;48;27,5
Warszawa - Mokotów;Szkoła Podstawowa nr 191 im. Józefa Ignacego Kraszewskiego;Warszawa;Bokserska 30;39;20,8
Warszawa - Mokotów;Szkoła Podstawowa nr 2 Przymierza Rodzin im. ks. Jana Twardowskiego;Warszawa;Racławicka 14;17;29,7
Warszawa - Mokotów;Szkoła Podstawowa Nr 20 im. Jana Gutenberga Fundacji Szkolnej;Warszawa;Obrzeźna 12A;34;32,0
Warszawa - Mokotów;Szkoła Podstawowa nr 202;Warszawa;"Janka Bytnara ""Rudego"" 19";33;26,6
Warszawa - Mokotów;Szkoła Podstawowa nr 205 im. Żołnierzy Powstania Warszawskiego w Warszawie;Warszawa;Spartańska 4;52;27,8
Warszawa - Mokotów;Szkoła Podstawowa nr 212 im. K.Krahelskiej;Warszawa;Czarnomorska 3;67;28,3
Warszawa - Mokotów;Szkoła Podstawowa nr 260  im. Jana Matejki w Warszawieadkowski;Warszawa;Zakrzewska 24;46;22,1
Warszawa - Mokotów;Szkoła Podstawowa nr 271 im. 11 Listopada w Warszawie;Warszawa;Niegocińska 2;53;25,3
Warszawa - Mokotów;Szkoła Podstawowa nr 3 im.Dzieci Powstania Warszawskiego;Warszawa;Gosciniec 53;16;25,9
Warszawa - Mokotów;Szkoła Podstawowa nr 307 im. Króla Jana III Sobieskiego;Warszawa;Barcelońska 8;63;27,8
Warszawa - Mokotów;Szkoła Podstawowa Nr 46 im. Stefana Starzyńskiego w Warszawie;Warszawa;Wałbrzyska 5;64;26,5
Warszawa - Mokotów;Szkoła Podstawowa nr 69;Warszawa;Wiktorska 73;64;29,3
Warszawa - Mokotów;Szkoła Podstawowa nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino;Warszawa;Bruna 11;32;25,0
Warszawa - Mokotów;Szkoła Podstawowa nr 85 im. Benito Juareza;Warszawa;Narbutta 14;63;27,3
Warszawa - Mokotów;Szkoła Podstawowa nr 98 im.Lucy Maud Montgomery;Warszawa;Grottgera 22;21;23,1
Warszawa - Mokotów;Szkoła Podstawowa Sportowa nr 272 im. Eugeniusza Lokajskiego;Warszawa;Piaseczyńska 114/116;26;22,7
Warszawa - Mokotów;Szkoła Podstwowa nr 33 im. Wojsk Obrony Powietrznej Kraju;Warszawa;Cieszyńska 8;36;26,8
Warszawa - Ochota;Międzynarodowa Szkoła Podstawowa Meridian w Warszawie;Warszawa;Wawelska 66/74;6;27,3
Warszawa - Ochota;Prywatna Szkoła Podstawowa nr 51im. Jana Brzechwy w Warszawie;Warszawa;Przy Parku 36;22;32,6
Warszawa - Ochota;Szkoła Podstawowa im. Edwarda Szymańskiego  nr 23;Warszawa;Wawelska 48;52;29,5
Warszawa - Ochota;"Szkoła Podstawowa Niepubliczna nr 81 Fundacji ""Rodzice Dziecom""";Warszawa;Nowowiejska 39A;26;35,2
Warszawa - Ochota;Szkoła Podstawowa Nr 10 im. Grzegorza Piramowicza;Warszawa;Jasielska 49/53;37;29,9
Warszawa - Ochota;Szkoła Podstawowa nr 152 imienia Marii Dąbrowskiej w Warszawie w Zespole Szkół nr 83 w Warszawie;Warszawa;Powstańców Wielkopolskich 4;55;25,8
Warszawa - Ochota;Szkoła Podstawowa nr 175 im. Heleny Marusarzówny w Warszawie;Warszawa;Trzech Budrysów 32;67;27,8
Warszawa - Ochota;Szkoła Podstawowa nr 264 im.Gabrieli Mistral;Warszawa;Majewskiego 17;51;25,3
Warszawa - Ochota;Szkoła Podstawowa nr 97 im. Leona Kruczkowskiego;Warszawa;Spiska 1;58;23,3
Warszawa - Ochota;Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280 im. Tytusa Chałubińskiego;Warszawa;Gorlicka 3;73;30,1
Warszawa - Ochota;Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 61 im. Juliana Przybosia w Warszawie;Warszawa;Białobrzeska 27;61;26,0
Warszawa - Praga Południe;Chrześcijańska Szkoła Podstawowa Samuel;Warszawa;Boremlowska 6/12;10;28,0
Warszawa - Praga Południe;Prywatna Szkoła Podstawowa Nr 114;Warszawa;Ks.Jana Sztuki 13;10;32,2
Warszawa - Praga Południe;Prywatna Szkoła Podstawowa nr 98 DIDASKO;Warszawa;Terespolska 19;32;29,3
Warszawa - Praga Południe;Spoleczna Szkoła Podstawowa nr 5 im. Zawiszy Czarnego Spolecznego Towarzystwa Oświatowego;Warszawa;Paryska 25;13;33,4
Warszawa - Praga Południe;Społeczna Szkoła Podstawowa nr 10 im. Kardynała Stefana Wyszyńskiego Społecznego Towarzystwa Oświatowego;Warszawa;Ostrobramska 72;27;31,7
Warszawa - Praga Południe;Szkoła Podstawowa Integracyjna Nr 135 im. Marii Kownackiej w Zespole Szkół Integracyjnych Nr 75 w Warszawie;Warszawa;Bartosika 5;38;25,4
Warszawa - Praga Południe;"Szkoła Podstawowa nr 120 z Oddziałami Integracyjnymi im. Pułków Piechoty ""Dzieci Warszawy""";Warszawa;Międzyborska 70;36;24,1
Warszawa - Praga Południe;Szkoła Podstawowa nr 141 im. majora Henryka Sucharskiego;Warszawa;Szaserów 117;96;27,6
Warszawa - Praga Południe;Szkoła Podstawowa nr 143 im.Stefana Starzyńskiego w Warszawie;Warszawa;al.Stanów Zjednoczonych 27;88;27,6
Warszawa - Praga Południe;"Szkoła Podstawowa nr 163 im. Batalionu ""Zośka"" w Warszawie";Warszawa;Osiecka 28/32;64;28,6
Warszawa - Praga Południe;SZKOŁA PODSTAWOWA NR 168  im. Wiktora Gomulickiego w Zespole Szkół nr 84 w Warszawie;Warszawa;Zwycięzców 44;78;27,2
Warszawa - Praga Południe;szkoła podstawowa nr 185 im. UNICEF w Warszawie;Warszawa;T.Bora - Komorowskiego 31;72;27,4
