Sofokles,-496, -406, Antygona,-442, Antyk, Z
Homer,-700, -760, Iliada i Odyseja, -730, Antyk, Z
#Wielu Autorów,2020,,Biblia,-900, 100, Antyk, Z
#Autor Nieznany,2020,,Bogurodzica,1300, Średniowiecze, P
#Autor Nieznany,2020,, Dzieje Tristana i Izoldy,1100, Średniowiecze, Z
Miguel Cervantes,1547,1616,Don Kichote, 1605, Średniowiecze, Z
Jan Kochanowski, 1530,1584,Treny, 1580, Renesans, P
William Szekspir, 1564, 1616 , Hamlet, 1600, Renesans, Z
Mikołaj Sęp Szarzyński , 1550,1581,Sonety, 1575, Barok, P
Jan Chryzostom Pasek, 1636,1701, Pamiętniki, 1695,Barok, P
Ignacy Krasicki, 1735,1810, Monachomachia, 1777, Oświecenie, P
Adam Mickiewicz, 1798,1855, Dziady cz. IV, 1822, Romantyzm, P
Juliusz Słowacki, 1809,1849, Kordian, 1833, Romantyzm, P
Cyprian Norwid, 1821,1883, Bema pamięci żałobny rapsod, 1851, Romantyzm, P
Bolesław Prus, 1847,1912, Lalka, 1889, Pozytywizm, P
Fiodor Dostojewski, 1821, 1881, Zbrodnia i kara, 1867,  Pozytywizm, Z
Joseph Conrad, 1857, 1924,Jądro ciemności, 1902, Modernizm, Z
Jan Kasprowicz, 1860, 1926,Hymny, 1921, Modernizm, P
Leopold Staff, 1878,1957, Ptakom niebieskim, 1905, Modernizm, P
Stanisław Wyspiański, 1869,1907,Wesele, 1901, Modernizm,P
Władysław Stanisław Reymont, 1867,1925, Chłopi,1908, Modernizm, P
Stefan Żeromski, 1864, 1925, Ludzie bezdomni, 1899, Modernizm,P
Witold Gombrowicz, 1904,1969,Ferdydurke, 1937,Dwudziestolecie międzywojenne, P
Bolesław Leśmian, 1877,1937, Sad rozstajny, 1912, Dwudziestolecie międzywojenne, P
Julian Tuwim, 1894, 1953,Sokrates tańczący, 1920, Dwudziestolecie międzywojenne, P
Jan Lechoń, 1899, 1956,Karmazynowy poemat, 1920, Dwudziestolecie międzywojenne, P
Julian Przyboś,1901,1970 ,Równanie serca, 1938, Dwudziestolecie międzywojenne, P
Konstanty Ildefons Gałczyński, 1905, 1953,Koniec świata, 1930, Dwudziestolecie międzywojenne, P
Jarosław Iwaszkiewicz, 1894, 1980,Panny z Wilka,1932, Dwudziestolecie międzywojenne, P
Bruno Schulz, 1892, 1942,Sklepy cynamonowe, 1933, Dwudziestolecie międzywojenne,P
Tadeusz Borowski, 1922, 1951, Pożegnanie z Marią, 1947, Współczesność,P
Krzysztof Kamil Baczyński, 1921,1944, Dwie miłości, 1940, Współczesność, P
Tadeusz Różewicz, 1921,2020, Nic w płaszczu Prospera, 1948, Współczesność,P
Irit Amiel, 1931,2020,Osmaleni, 1999, Współczesność, Z
Hanna Krall, 1935,2020, Zdążyć przed Panem Bogiem, 1977, Współczesność,P
Gustaw Herling-Grudziński, 1919,2000, Inny świat,1953, Współczesność, P
Czesław Miłosz, 1911,2004,Zniewolony umysł, 1953, Współczesność, P
Wisława Szymborska, 1923, 2012,Sto wierszy – sto pociech, 1997, Współczesność, P
Zbigniew Herbert, 1924,1998, Pan Cogito, 1974, Współczesność, P
Ewa Lipska, 1945,2020,Wakacje mizantropa, 1993, Współczesność, P
Adam Zagajewski, 1945,2020,Powrót, 2003,Współczesność, P
Stanisław Barańczak, 1946,2020,Pegaz zdębiał, 1995, Współczesność, P
Miron Białoszewski, 1922, 1982,Trzydzieści lat wierszy, 1982, Współczesność, P
Ryszard Kapuściński, 1932, 2007,Podróże z Herodotem, 2004, Współczesność, P
Sławomir Mrożek, 1930,2013, Tango,1964, Współczesność, P
Tadeusz Konwicki, 1926,2020, Kronika wypadków miłosnych, 1974, Współczesność,P
Franz Kafka, 1883, 1924,Proces,1925, Współczesność, Z
Albert Camus, 1913,1960,Dżuma,1947, Współczesność,Z
George Orwell,1903,1950,Rok 1984,1949, Współczesność, Z
Gabriel Garcia Marquez, 1927,2020, Sto lat samotności, 1974, Współczesność,Z
Umberto Eco,1932,2020, Imię róży, 1980, Współczesność, Z
Horacy, -65,-8,Pieśni, -40, Antyk,Z
#Dante Alighieri, 1256, 1321,Boska komedia, 1321, Średniowiecze, Z
Johann Wolfgang Goethe,1749,1832, Faust, 1832,Romantyzm,Z
Honoriusz Balzak, 1799,1850, Ojciec Goriot,1835, Pozytywizm, Z
Emil Zola,1840,1902 ,Nana, 1880, Pozytywizm, Z
Gustaw Flaubert, 1821,1880,Pani Bovary,1857, Pozytywizm,Z
Michaił Bułhakow,1891,1940, Mistrz i Małgorzata,1938, Dwudziestolecie międzywojenne,Z
Wiesław Myśliwski,1932,2020,Kamien na kamieniu, 1984, Współczesność, P
#Albert Camus,1913, 1960,Upadek, 1956, Współczesność, Z
Milan Kundera,1929,2020,Nieznośna lekkość bytu, 1984, Współczesność, Z
John Steinbeck,1902,1968,Myszy i ludzie, 1939, Współczesność, Z
Kurt Vonnegut,1922,2007,Kocia kołyska, 1963, Współczesność, Z
